study_id	pos_id	gene	overall_l2g	l2g_share	rank
FINNGEN_R6_ABDOM_HERNIA	12-020426458-G-C	PDE3A	0.8688313364982605	0.9171247005027763	1
FINNGEN_R6_ABDOM_HERNIA	12-020426458-G-C	SLCO1C1	0.030344028025865555	0.03203067896633758	2
FINNGEN_R6_ABDOM_HERNIA	12-020426458-G-C	SLCO1B3-SLCO1B7	0.024083638563752174	0.025422310265443043	3
FINNGEN_R6_ABDOM_HERNIA	12-020426458-G-C	SLCO1B3	0.024083638563752174	0.025422310265443043	3
FINNGEN_R6_AD_AM	19-044908684-T-C	APOE	0.6824163794517517	0.6195424790885423	1
FINNGEN_R6_AD_AM	19-044908684-T-C	APOC1	0.07042810320854187	0.0639392649021384	2
FINNGEN_R6_AD_AM	19-044908684-T-C	TOMM40	0.040845390409231186	0.037082132251580295	3
FINNGEN_R6_AD_AM	19-044908684-T-C	NKPD1	0.024471912533044815	0.022217211976859497	4
FINNGEN_R6_AD_AM	19-044908684-T-C	APOC4	0.02314607985317707	0.021013533855883296	5
FINNGEN_R6_AD_AM	19-044908684-T-C	APOC4-APOC2	0.02314607985317707	0.021013533855883296	5
FINNGEN_R6_AD_AM	19-044908684-T-C	NECTIN2	0.01946476846933365	0.017671397222416868	7
FINNGEN_R6_AD_AM	19-044908684-T-C	APOC2	0.016644509509205818	0.015110980619824452	8
FINNGEN_R6_AD_AM	19-044908684-T-C	CLPTM1	0.01519770361483097	0.013797475057016836	9
FINNGEN_R6_AD_AM	19-044908684-T-C	BCAM	0.013635084964334965	0.012378827055959095	10
FINNGEN_R6_AD_AM	19-044908684-T-C	CBLC	0.01098216138780117	0.009970328522030815	11
FINNGEN_R6_AD_AM	19-044908684-T-C	RELB	0.010398853570222855	0.009440763314840844	12
FINNGEN_R6_AD_AM	19-044908684-T-C	CLASRP	0.0097322016954422	0.008835532890092762	13
FINNGEN_R6_AD_AM	19-044908684-T-C	BCL3	0.009296823292970657	0.008440267736836137	14
FINNGEN_R6_AD_AM	19-044908684-T-C	MARK4	0.009123309515416622	0.00828274051571608	15
FINNGEN_R6_AD_AM	19-044908684-T-C	PPP1R37	0.009026206098496914	0.008194583646306326	16
FINNGEN_R6_AD_AM	19-044908684-T-C	KLC3	0.008746657520532608	0.00794079105833119	17
FINNGEN_R6_AD_AM	19-044908684-T-C	ZNF296	0.0086278161033988	0.007832899002386363	18
FINNGEN_R6_AD_AM	19-044908684-T-C	CEACAM16	0.00791662186384201	0.0071872300888668915	19
FINNGEN_R6_AD_AM	19-044908684-T-C	CKM	0.007580433506518602	0.006882016183385633	20
FINNGEN_R6_AD_AM	19-044908684-T-C	GEMIN7	0.007216671947389841	0.006551769511521158	21
FINNGEN_R6_AD_AM	19-044908684-T-C	ERCC2	0.006924041546881199	0.006286100384508923	22
FINNGEN_R6_AD_AM	19-044908684-T-C	PVR	0.006916305050253868	0.006279076683958523	23
FINNGEN_R6_AD_AM	19-044908684-T-C	PPP1R13L	0.006698848679661751	0.006081655486304281	24
FINNGEN_R6_AD_AM	19-044908684-T-C	TRAPPC6A	0.005732355173677206	0.005204209104959067	25
FINNGEN_R6_AD_AM	19-044908684-T-C	CEACAM19	0.005676239728927612	0.005153263812902552	26
FINNGEN_R6_AD_AM	19-044908684-T-C	ZNF229	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	ZNF180	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	BLOC1S3	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	CEACAM20	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	EXOC3L2	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	CD3EAP	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	IGSF23	0.00524313235655427	0.004760060450159005	27
FINNGEN_R6_AD_AM	19-044908684-T-C	ERCC1	0.00479092076420784	0.0043495130198350634	34
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	APOE	0.6824163794517517	0.6195424790885423	1
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	APOC1	0.07042810320854187	0.0639392649021384	2
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	TOMM40	0.040845390409231186	0.037082132251580295	3
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	NKPD1	0.024471912533044815	0.022217211976859497	4
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	APOC4-APOC2	0.02314607985317707	0.021013533855883296	5
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	APOC4	0.02314607985317707	0.021013533855883296	5
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	NECTIN2	0.01946476846933365	0.017671397222416868	7
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	APOC2	0.016644509509205818	0.015110980619824452	8
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	CLPTM1	0.01519770361483097	0.013797475057016836	9
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	BCAM	0.013635084964334965	0.012378827055959095	10
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	CBLC	0.01098216138780117	0.009970328522030815	11
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	RELB	0.010398853570222855	0.009440763314840844	12
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	CLASRP	0.0097322016954422	0.008835532890092762	13
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	BCL3	0.009296823292970657	0.008440267736836137	14
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	MARK4	0.009123309515416622	0.00828274051571608	15
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	PPP1R37	0.009026206098496914	0.008194583646306326	16
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	KLC3	0.008746657520532608	0.00794079105833119	17
FINNGEN_R6_AD_AM_EXMORE	19-044908684-T-C	ZNF296	0.0086278161033988	0.007832899002386363	18
